,Age,Income,CreditScore,MonthsEmployed,NumCreditLines,LoanTerm,DTIRatio,MaritalStatus,HasMortgage,HasDependents,HasCoSigner
0,21,111943,580,57,1,12,0.47,Single,Yes,Yes,Yes
1,48,76876,314,93,1,36,0.84,Married,Yes,Yes,No
2,52,147519,456,107,3,12,0.13,Single,Yes,No,No
3,25,66521,368,43,4,36,0.69,Married,No,No,No
4,27,49223,357,117,2,12,0.85,Divorced,No,No,Yes
5,25,93814,612,1,3,12,0.45,Single,No,No,No
6,33,129500,840,1,3,60,0.26,Single,No,Yes,Yes
7,32,123903,334,45,4,48,0.14,Married,No,No,Yes
8,30,49083,667,39,1,12,0.74,Divorced,Yes,Yes,No
9,30,43688,833,44,4,24,0.27,Single,Yes,No,Yes
10,34,18476,513,41,1,48,0.25,Divorced,No,Yes,Yes
11,30,149488,607,16,2,48,0.81,Single,Yes,No,Yes
12,38,24389,509,113,1,36,0.28,Single,No,Yes,No
13,18,120364,759,56,1,60,0.64,Divorced,No,Yes,No
14,19,56261,595,53,2,60,0.16,Single,No,No,No
15,50,96466,713,75,1,36,0.63,Married,No,No,Yes
16,27,125759,482,83,2,36,0.25,Divorced,Yes,No,No
17,51,17364,624,37,3,48,0.73,Single,Yes,Yes,No
18,28,23898,474,90,1,36,0.76,Divorced,Yes,Yes,Yes
19,36,90774,670,10,2,24,0.12,Married,No,No,No
20,49,145109,509,21,4,36,0.42,Single,No,No,Yes
21,20,99150,653,109,3,36,0.81,Married,Yes,No,Yes
22,63,119689,629,35,1,48,0.85,Married,Yes,Yes,Yes
23,53,110658,662,69,2,12,0.78,Divorced,No,No,No
24,67,57159,324,6,4,12,0.18,Divorced,Yes,Yes,No
25,18,112725,848,59,3,36,0.57,Married,No,No,Yes
26,60,93441,789,16,2,60,0.52,Single,Yes,No,No
27,57,122423,535,91,2,60,0.36,Single,Yes,Yes,No
28,45,142780,366,57,2,60,0.3,Divorced,Yes,Yes,No
