threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.5,1.0,0.67,0.5
0.1,0.5,1.0,0.67,0.5
0.15,0.5,1.0,0.67,0.5
0.2,0.5,1.0,0.67,0.5
0.25,0.5,0.97,0.66,0.5
0.3,0.5,0.95,0.66,0.51
0.35,0.51,0.91,0.66,0.52
0.4,0.52,0.83,0.64,0.53
0.45,0.55,0.65,0.59,0.56
0.5,0.57,0.55,0.56,0.57
0.55,0.61,0.45,0.52,0.58
0.6,0.63,0.36,0.45,0.57
0.65,0.68,0.18,0.29,0.55
0.7,0.69,0.13,0.22,0.54
0.75,0.69,0.08,0.14,0.52
0.8,0.79,0.06,0.1,0.52
0.85,0.8,0.01,0.02,0.5
0.9,0.75,0.01,0.01,0.5
0.95,0.5,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
