threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.5,1.0,0.67,0.5
0.1,0.5,1.0,0.67,0.5
0.15,0.5,1.0,0.67,0.5
0.2,0.51,0.99,0.67,0.52
0.25,0.53,0.97,0.69,0.55
0.3,0.55,0.95,0.69,0.58
0.35,0.56,0.9,0.69,0.6
0.4,0.59,0.84,0.69,0.63
0.45,0.62,0.77,0.68,0.64
0.5,0.64,0.67,0.65,0.65
0.55,0.67,0.56,0.61,0.64
0.6,0.7,0.46,0.56,0.63
0.65,0.74,0.34,0.47,0.61
0.7,0.77,0.23,0.35,0.58
0.75,0.78,0.12,0.21,0.54
0.8,0.79,0.04,0.09,0.52
0.85,0.67,0.0,0.01,0.5
0.9,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
